ID                         Name                              Installed
gnome-desktop              GNOME                                   yes
workstation-product        Fedora Workstation product core         yes
virtualization             Virtualization                          yes
system-tools               System Tools                            yes
standard                   Standard                                yes
printing                   Printing Support                        yes
networkmanager-submodules  Common NetworkManager Submodules        yes
multimedia                 Multimedia                              yes
libreoffice                LibreOffice                             yes
hardware-support           Hardware Support                        yes
guest-desktop-agents       Guest Desktop Agents                    yes
gnome-software-development GNOME Software Development              yes
admin-tools                Administration Tools                    yes
fonts                      Fonts                                   yes
fedora-packager            Fedora Packager                         yes
development-tools          Development Tools                       yes
development-libs           Development Libraries                   yes
desktop-accessibility      Desktop accessibility                   yes
core                       Core                                    yes
container-management       Container Management                    yes
c-development              C Development Tools and Libraries       yes
buildsys-build             Buildsystem building group              yes
base-graphical             base-graphical                          yes
anaconda-tools             Anaconda tools                          yes
